title,location,area,size,rooms,sqm_m2,price_VND,price_num,len(price),price_normalized,price_usd,trieu_met_vuong,usd_per_sqm,province,country
Bán căn hộ 2PN +1 WC Lovera Vista nhận nhà ở ngay,Binh Chanh,52 m² - 2 PN,52 m²,2 PN,52,"1,7 tỷ",1.7,3,1700,"$74,561",32.69,$1.43,thanh pho ho chi minh,vietnam
"Căn hộ 54m mặt tiền Nguyễn Văn Linh 1ty60 2PN, 2WC",Binh Chanh,54 m² - 2 PN,54 m²,2 PN,54,"1,06 tỷ",1.6,3,1600,"$70,175",29.63,$1.30,thanh pho ho chi minh,vietnam
Cần bán gấp căn hộ Mizuki 56m2 full sổ giá 2.2 tỷ,Binh Chanh,56 m² - 2 PN,56 m²,2 PN,56,"2,2 tỷ",2.2,3,2200,"$96,491",39.29,$1.72,thanh pho ho chi minh,vietnam
Giỏ hàng cập nhật tháng 5/2021 Mizuki Park,Binh Chanh,56 m² - 2 PN,56 m²,2 PN,56,"2,2 tỷ",2.2,3,2200,"$96,491",39.29,$1.72,thanh pho ho chi minh,vietnam
Bán nhanh căn 56m2 Mizuki giá 2.250 hỗ trợ vay 70%,Binh Chanh,56 m² - 2 PN,56 m²,2 PN,56,"2,25 tỷ",2.25,4,2250,"$98,684",40.18,$1.76,thanh pho ho chi minh,vietnam
Chung cư Mizuki Park 56m² 2 PN Tầng 3 giá 2.260,Binh Chanh,56 m² - 2 PN,56 m²,2 PN,56,"2,26 tỷ",2.26,4,2260,"$99,123",40.36,$1.77,thanh pho ho chi minh,vietnam
"Chung cư Mizuki Park 56m² 2 PN, hướng đông, mp3",Binh Chanh,56 m² - 2 PN,56 m²,2 PN,56,"2,265 tỷ",2.265,5,2265,"$99,342",40.45,$1.77,thanh pho ho chi minh,vietnam
Bán căn hộ 56m2 CC Mizuki full nội thất,Binh Chanh,56 m² - 2 PN,56 m²,2 PN,56,"2,45 tỷ",2.45,4,2450,"$107,456",43.75,$1.92,thanh pho ho chi minh,vietnam
Bán gấp căn hộ Sài Gòn Mia 2 Phòng Ngủ giá 2Tỷ850,Binh Chanh,56 m² - 2 PN,56 m²,2 PN,56,"2,85 tỷ",2.85,4,2850,"$125,000",50.89,$2.23,thanh pho ho chi minh,vietnam
"Căn hộ Mizuki giai đoạn 2 block Mp6,7,8, vay ls 0%",Binh Chanh,58 m² - 2 PN,58 m²,2 PN,58,"2,6 tỷ",2.6,3,2600,"$114,035",44.83,$1.97,thanh pho ho chi minh,vietnam
Chung cư Bình Chánh 59m² 2PN Suất hỗ trợ mùa dịch,Binh Chanh,59 m² - 2 PN,59 m²,2 PN,59,649 triệu,649,4,649,"$28,465",11,$0.48,thanh pho ho chi minh,vietnam
Căn hộ mặt tiền Nguyễn Văn Linh 660 triệu,Binh Chanh,59 m² - 2 PN,59 m²,2 PN,59,660 triệu,660,4,660,"$28,947",11.19,$0.49,thanh pho ho chi minh,vietnam
"Bán gấp căn 2PN,2WC, đối diện UBND quận,liền kề Q7",Binh Chanh,59 m² - 2 PN,59 m²,2 PN,59,660 triệu,660,4,660,"$28,947",11.19,$0.49,thanh pho ho chi minh,vietnam
"Chỉ 660TR Sở Hữu Căn 2PN Full Nội Thất, Liền Kề Q8",Binh Chanh,59 m² - 2 PN,59 m²,2 PN,59,660 triệu,660,4,660,"$28,947",11.19,$0.49,thanh pho ho chi minh,vietnam
Suất Ngoại Giao Tặng Full Nội Thất Cao Cấp Châu Âu,Binh Chanh,59 m² - 2 PN,59 m²,2 PN,59,"666,67 triệu",666.67,6,666.67,"$29,240",11.3,$0.50,thanh pho ho chi minh,vietnam
"Mua nhà Sài Gòn 2PN+2WC, chỉ 689 triệu nhận nhà.",Binh Chanh,59 m² - 2 PN,59 m²,2 PN,59,689 triệu,689,4,689,"$30,219",11.68,$0.51,thanh pho ho chi minh,vietnam
Chỉ 690tr có ngay Căn Hộ Cao Cấp 2PN Full Nội Thất,Binh Chanh,59 m² - 2 PN,59 m²,2 PN,59,700 triệu,700,4,700,"$30,702",11.86,$0.52,thanh pho ho chi minh,vietnam
"Suất nội bộ Chung cư đối diện ủy ban Bình chánh,",Binh Chanh,59 m² - 2 PN,59 m²,2 PN,59,722 triệu,722,4,722,"$31,667",12.24,$0.54,thanh pho ho chi minh,vietnam
CHUNG CƯ THANH TOÁN 589TR VÀO Ở. FULL NỘI THẤT ĐỨC,Binh Chanh,59 m² - 2 PN,59 m²,2 PN,59,"1,8 tỷ",1.8,3,1800,"$78,947",30.51,$1.34,thanh pho ho chi minh,vietnam
Thanh Toán 30% Sở Hữu Căn Hộ 2PN2WC Full Nội Thất,Binh Chanh,59 m² - 2 PN,59 m²,2 PN,59,"1,9 tỷ",1.9,3,1900,"$83,333",32.2,$1.41,thanh pho ho chi minh,vietnam
Căn Hộ Tây Sài Gòn,Binh Chanh,59 m² - 2 PN,59 m²,2 PN,59,"1,9 tỷ",1.9,3,1900,"$83,333",32.2,$1.41,thanh pho ho chi minh,vietnam
Lãi suất 0% & tặng nội thất cao cấp đầy đủ,Binh Chanh,59 m² - 2 PN,59 m²,2 PN,59,"1,9 tỷ",1.9,3,1900,"$83,333",32.2,$1.41,thanh pho ho chi minh,vietnam
🛑 WESTGATE MỞ BÁN ĐỢT 1 BLOCK C FULL 100% PHÁP LÝ,Binh Chanh,59 m² - 2 PN,59 m²,2 PN,59,"1,9 tỷ",1.9,3,1900,"$83,333",32.2,$1.41,thanh pho ho chi minh,vietnam
CĂN HỘ WESTGATE 2PN GIÁ TỐT - ĐẦY ĐỦ PHÁP LÝ,Binh Chanh,59 m² - 2 PN,59 m²,2 PN,59,2 tỷ,2,2,2000,"$87,719",33.9,$1.49,thanh pho ho chi minh,vietnam
TẠI BÌNH CHÁNH CĂN HỘ 2PN 2WC 59M2 CHỈ TỪ 660TR,Binh Chanh,59 m² - 2 PN,59 m²,2 PN,59,2 tỷ,2,2,2000,"$87,719",33.9,$1.49,thanh pho ho chi minh,vietnam
Chính chủ bán gấp căn hộ cao cấp Westgate 2pn 2wc,Binh Chanh,59 m² - 2 PN,59 m²,2 PN,59,"2,087 tỷ",2.087,5,2087,"$91,535",35.37,$1.55,thanh pho ho chi minh,vietnam
Căn Hộ MặtTiền Đường Nguyễn Văn Linh Chỉ 700 Triệu,Binh Chanh,59 m² - 2 PN,59 m²,2 PN,59,"2,1 tỷ",2.1,3,2100,"$92,105",35.59,$1.56,thanh pho ho chi minh,vietnam
Chỉ 700triệu sở hữu căn hộ trung tâm Tây Sài Gòn,Binh Chanh,59 m² - 2 PN,59 m²,2 PN,59,"2,1 tỷ",2.1,3,2100,"$92,105",35.59,$1.56,thanh pho ho chi minh,vietnam
Căn hộ WEST-GATE - đã có GPXD - giá ưu đãi,Binh Chanh,59 m² - 2 PN,59 m²,2 PN,59,"2,1 tỷ",2.1,3,2100,"$92,105",35.59,$1.56,thanh pho ho chi minh,vietnam
Căn hộ Ngon - Bổ - Êm nhất khu Tây Sài Gòn,Binh Chanh,59 m² - 2 PN,59 m²,2 PN,59,"2,1 tỷ",2.1,3,2100,"$92,105",35.59,$1.56,thanh pho ho chi minh,vietnam
"westgate pháp lý hoàn chỉnh, thanh toán 660TR 2PN",Binh Chanh,59 m² - 2 PN,59 m²,2 PN,59,"2,1 tỷ",2.1,3,2100,"$92,105",35.59,$1.56,thanh pho ho chi minh,vietnam
CHẠM ƯỚC MƠ SỞ HỮU TỔ ẤM LÝ TƯỞNG CỦA CÁC GIA ĐÌNH,Binh Chanh,59 m² - 2 PN,59 m²,2 PN,59,"2,1 tỷ",2.1,3,2100,"$92,105",35.59,$1.56,thanh pho ho chi minh,vietnam
LIVESTREAM BÁN WESTGATE MÙA DỊCH  - 9h NGÀY 10/07,Binh Chanh,59 m² - 2 PN,59 m²,2 PN,59,"2,1 tỷ",2.1,3,2100,"$92,105",35.59,$1.56,thanh pho ho chi minh,vietnam
HÃY LÀ CƯ DÂN AN GIA ĐỂ SỞ HỮU TIỆN ÍCH VƯỢT TRỘI,Binh Chanh,59 m² - 2 PN,59 m²,2 PN,59,"2,100005 tỷ",2.1,5,2100,"$92,105",35.59,$1.56,thanh pho ho chi minh,vietnam
MUA CĂN HỘ TẶNG GÓI LÃI SUẤT VAY NGÂN HÀNG 0%,Binh Chanh,59 m² - 2 PN,59 m²,2 PN,59,"2,109643 tỷ",2.109,5,2109,"$92,500",35.75,$1.57,thanh pho ho chi minh,vietnam
"Căn hộ trung tâm hành chính 5 mặt tiền, Bình Chánh",Binh Chanh,59 m² - 2 PN,59 m²,2 PN,59,"2,15 tỷ",2.15,4,2150,"$94,298",36.44,$1.60,thanh pho ho chi minh,vietnam
Căn hộ WESTGATE 2pn+2wc trong cụm TTHC Bình Chánh,Binh Chanh,59 m² - 2 PN,59 m²,2 PN,59,"2,158 tỷ",2.158,5,2158,"$94,649",36.58,$1.60,thanh pho ho chi minh,vietnam
CĂN HỘ NGAY UBND BÌNH CHÁNH 5 MẶT TIỀN CHỈ 660TR,Binh Chanh,59 m² - 2 PN,59 m²,2 PN,59,"2,2 tỷ",2.2,3,2200,"$96,491",37.29,$1.64,thanh pho ho chi minh,vietnam
CĂN HỘ WEST GATE ĐỘC TÔN CAO CẤP KHU TÂY SÀI GÒN,Binh Chanh,59 m² - 2 PN,59 m²,2 PN,59,"2,2 tỷ",2.2,3,2200,"$96,491",37.29,$1.64,thanh pho ho chi minh,vietnam
Căn hộ Bình Chánh sở hữu chỉ từ 660 triệu(30%),Binh Chanh,59 m² - 2 PN,59 m²,2 PN,59,"2,2 tỷ",2.2,3,2200,"$96,491",37.29,$1.64,thanh pho ho chi minh,vietnam
Chung cư West Gate Park 59m² 2PN + 2WC full Nội,Binh Chanh,59 m² - 2 PN,59 m²,2 PN,59,"2,2 tỷ",2.2,3,2200,"$96,491",37.29,$1.64,thanh pho ho chi minh,vietnam
Chung Cư West Gate Nằm Trong Trung Tâm Bình Chánh,Binh Chanh,59 m² - 2 PN,59 m²,2 PN,59,"2,2 tỷ",2.2,3,2200,"$96,491",37.29,$1.64,thanh pho ho chi minh,vietnam
BUỔI CÔNG BỐ GIẤY PHÉP XÂY DỰNG WEST GATE-AN GIA,Binh Chanh,59 m² - 2 PN,59 m²,2 PN,59,"2,279644 tỷ",2.279,5,2279,"$99,956",38.63,$1.69,thanh pho ho chi minh,vietnam
Căn hộ 59m² 4 mặt tiền đường khu Tây,Binh Chanh,59 m² - 2 PN,59 m²,2 PN,59,"2,3 tỷ",2.3,3,2300,"$100,877",38.98,$1.71,thanh pho ho chi minh,vietnam
Chung cư trung tâm Binh Chanh 59m² 2PN,Binh Chanh,59 m² - 2 PN,59 m²,2 PN,59,"2,3 tỷ",2.3,3,2300,"$100,877",38.98,$1.71,thanh pho ho chi minh,vietnam
Căn hộ cao cấp WestGate Bình Chánh 59m² 2PN,Binh Chanh,59 m² - 2 PN,59 m²,2 PN,59,"2,3 tỷ",2.3,3,2300,"$100,877",38.98,$1.71,thanh pho ho chi minh,vietnam
Căn hộ 2PN cao cấp trung tâm Bình Chánh,Binh Chanh,59 m² - 2 PN,59 m²,2 PN,59,"2,301 tỷ",2.301,5,2301,"$100,921",39,$1.71,thanh pho ho chi minh,vietnam
Căn hộ cao cấp - Ưu đãi chưa từng có,Binh Chanh,59 m² - 2 PN,59 m²,2 PN,59,"2,36 tỷ",2.36,4,2360,"$103,509",40,$1.75,thanh pho ho chi minh,vietnam
"Thật 100% Căn 2PN nội thất đẹp như hình giá 2,9 Tỷ",Binh Chanh,59 m² - 2 PN,59 m²,2 PN,59,"2,9 tỷ",2.9,3,2900,"$127,193",49.15,$2.16,thanh pho ho chi minh,vietnam
TT 599tr sở hữu CH 2PN 2PVS -full nội thất cao cấp,Binh Chanh,60 m² - 2 PN,60 m²,2 PN,60,599 triệu,599,4,599,"$26,272",9.98,$0.44,thanh pho ho chi minh,vietnam
"mua nhà Sài Gòn 600tr, căn 2pn 60m2",Binh Chanh,60 m² - 2 PN,60 m²,2 PN,60,600 triệu,600,4,600,"$26,316",10,$0.44,thanh pho ho chi minh,vietnam
WestGate Bình Chánh59m2 -thanh toán chỉ 30% 599tr,Binh Chanh,60 m² - 2 PN,60 m²,2 PN,60,600 triệu,600,4,600,"$26,316",10,$0.44,thanh pho ho chi minh,vietnam
CH Wesgate Đã Có Giấy Phép-TT 700 Triệu Nhận Nhà,Binh Chanh,60 m² - 2 PN,60 m²,2 PN,60,700 triệu,700,4,700,"$30,702",11.67,$0.51,thanh pho ho chi minh,vietnam
Căn hộ 2pn-2wc cao cấp full nội thất chỉ 690tr,Binh Chanh,60 m² - 2 PN,60 m²,2 PN,60,700 triệu,700,4,700,"$30,702",11.67,$0.51,thanh pho ho chi minh,vietnam
Căn Hộ & ShopHouse Trung Tâm Hành Chính Bình Chánh,Binh Chanh,60 m² - 2 PN,60 m²,2 PN,60,750 triệu,750,4,750,"$32,895",12.5,$0.55,thanh pho ho chi minh,vietnam
Cần bán gấp chung cư Him Lam 6A,Binh Chanh,60 m² - 2 PN,60 m²,2 PN,60,"1,9 tỷ",1.9,3,1900,"$83,333",31.67,$1.39,thanh pho ho chi minh,vietnam
Căn Hộ West Gate Bình Chánh Chỉ Từ 660tr Có N.Thất,Binh Chanh,60 m² - 2 PN,60 m²,2 PN,60,"2,2 tỷ",2.2,3,2200,"$96,491",36.67,$1.61,thanh pho ho chi minh,vietnam
Căn Hộ 2PN West Gate chỉ 15% Tặng 10-15 vàng,Binh Chanh,60 m² - 2 PN,60 m²,2 PN,60,"2,05 tỷ",2.5,3,2500,"$109,649",41.67,$1.83,thanh pho ho chi minh,vietnam
Chung cư Lovera Vista 64m² 2PN,Binh Chanh,64 m² - 2 PN,64 m²,2 PN,64,"2,1 tỷ",2.1,3,2100,"$92,105",32.81,$1.44,thanh pho ho chi minh,vietnam
mua nhà sài gòn 600tr? có hồ bơi và công viên,Binh Chanh,65 m² - 2 PN,65 m²,2 PN,65,600 triệu,600,4,600,"$26,316",9.23,$0.40,thanh pho ho chi minh,vietnam
BÁN 2PN GIÁ GỐC LOVERA VISTA -giỏ hàng giá tốt,Binh Chanh,65 m² - 2 PN,65 m²,2 PN,65,"2,035 tỷ",2.035,5,2035,"$89,254",31.31,$1.37,thanh pho ho chi minh,vietnam
Chung cư Lovera Vista 65m² 2PN,Binh Chanh,65 m² - 2 PN,65 m²,2 PN,65,"2,1 tỷ",2.1,3,2100,"$92,105",32.31,$1.42,thanh pho ho chi minh,vietnam
Căn hộ cao cấp Lovera Vista 65m2 2 PN 2WC,Binh Chanh,65 m² - 2 PN,65 m²,2 PN,65,"2,1 tỷ",2.1,3,2100,"$92,105",32.31,$1.42,thanh pho ho chi minh,vietnam
Bán gấp căn hộ Lovera Vista đã bàn giao 65m2 2 PN,Binh Chanh,65 m² - 2 PN,65 m²,2 PN,65,"2,25 tỷ",2.25,4,2250,"$98,684",34.62,$1.52,thanh pho ho chi minh,vietnam
Bán gấp căn góc Mizuki Park 65m2 2PN 2WC,Binh Chanh,65 m² - 2 PN,65 m²,2 PN,65,"2,44 tỷ",2.44,4,2440,"$107,018",37.54,$1.65,thanh pho ho chi minh,vietnam
"Cần bán Lovera Vista 2PN 2WC 65m2 2,080 tỷ Block D",Binh Chanh,65 m² - 2 PN,65 m²,2 PN,65,"2,08 tỷ",2.8,3,2800,"$122,807",43.08,$1.89,thanh pho ho chi minh,vietnam
Căn hộ thông minh Chung cư Lovera Vista 65m² 2PN,Binh Chanh,65 m² - 2 PN,65 m²,2 PN,65,"2,09 tỷ",2.9,3,2900,"$127,193",44.62,$1.96,thanh pho ho chi minh,vietnam
Ban CH Happy City NVL 67m² 2PN 1WC nhà mới đẹp,Binh Chanh,67 m² - 2 PN,67 m²,2 PN,67,"1,45 tỷ",1.45,4,1450,"$63,596",21.64,$0.95,thanh pho ho chi minh,vietnam
Chung cư Binh Chanh 67m² 2PN,Binh Chanh,67 m² - 2 PN,67 m²,2 PN,67,"2,1 tỷ",2.1,3,2100,"$92,105",31.34,$1.37,thanh pho ho chi minh,vietnam
Căn góc Mizuki Park 2PN-2WC thoáng mát ở liền,Binh Chanh,67 m² - 2 PN,67 m²,2 PN,67,"2,45 tỷ",2.45,4,2450,"$107,456",36.57,$1.60,thanh pho ho chi minh,vietnam
"Mua nhà sài gòn giá rẻ, 680 triệu có ngay 1 căn",Binh Chanh,69 m² - 2 PN,69 m²,2 PN,69,680 triệu,680,4,680,"$29,825",9.86,$0.43,thanh pho ho chi minh,vietnam
"CĂN HỘ CÓ SÂN TENNIS TRÊN KHÔNG, FULL NỘI THẤT",Binh Chanh,69 m² - 2 PN,69 m²,2 PN,69,720 triệu,720,4,720,"$31,579",10.43,$0.46,thanh pho ho chi minh,vietnam
Chỉ Cần Thanh Toán 600 Triệu Sở Hữu Vị Trí 5 MT,Binh Chanh,69 m² - 2 PN,69 m²,2 PN,69,"1,9 tỷ",1.9,3,1900,"$83,333",27.54,$1.21,thanh pho ho chi minh,vietnam
MUA COVID THANH TOÁN 30% NHẬN NHÀ Ở NGAY,Binh Chanh,69 m² - 2 PN,69 m²,2 PN,69,"2,736835 tỷ",2.736,5,2736,"$120,000",39.65,$1.74,thanh pho ho chi minh,vietnam
"BÁN CĂN HỘ VỪA NHẬN NHÀ THÁNG 7, 69M2, 2PN. 2WC",Binh Chanh,69 m² - 2 PN,69 m²,2 PN,69,"2,754642 tỷ",2.754,5,2754,"$120,789",39.91,$1.75,thanh pho ho chi minh,vietnam
"CĂN HỘ NGUYỄN VĂN LINH CÓ SÂN TENIS,HỒ BƠI OLYMPIC",Binh Chanh,69 m² - 2 PN,69 m²,2 PN,69,"2,846735 tỷ",2.846,5,2846,"$124,825",41.25,$1.81,thanh pho ho chi minh,vietnam
Chung cư WESTGATE 70m² 2 PN,Binh Chanh,70 m² - 2 PN,70 m²,2 PN,70,840 triệu,840,4,840,"$36,842",12,$0.53,thanh pho ho chi minh,vietnam
Chung cư Mặt tiền Nguyễn Văn Linh,Binh Chanh,70 m² - 2 PN,70 m²,2 PN,70,"2,8 tỷ",2.8,3,2800,"$122,807",40,$1.75,thanh pho ho chi minh,vietnam
Chung cư Lovera Vista 72m² 2PN,Binh Chanh,72 m² - 2 PN,72 m²,2 PN,72,"2,249 tỷ",2.249,5,2249,"$98,640",31.24,$1.37,thanh pho ho chi minh,vietnam
Bán nhanh căn 72m2 Mizuki tầng đẹp có nội thất,Binh Chanh,72 m² - 2 PN,72 m²,2 PN,72,"2,75 tỷ",2.75,4,2750,"$120,614",38.19,$1.68,thanh pho ho chi minh,vietnam
Căn hộ Mizuki Park 72m² 2PN có bancon view hồ bơi,Binh Chanh,72 m² - 2 PN,72 m²,2 PN,72,"2,78 tỷ",2.78,4,2780,"$121,930",38.61,$1.69,thanh pho ho chi minh,vietnam
Bán Cc cao cấp Mizuki Park 72m2 giá 2ty780 full NT,Binh Chanh,72 m² - 2 PN,72 m²,2 PN,72,"2,78 tỷ",2.78,4,2780,"$121,930",38.61,$1.69,thanh pho ho chi minh,vietnam
Chung cư Mizuki Park 73m² 2 PN căn góc giá 3.080ty,Binh Chanh,73 m² - 2 PN,73 m²,2 PN,73,"3,08 tỷ",3.8,3,3800,"$166,667",52.05,$2.28,thanh pho ho chi minh,vietnam
Bán gấp căn CONIC 74m2 giá 1.65 tỷ căn góc,Binh Chanh,74 m² - 2 PN,74 m²,2 PN,74,"1,65 tỷ",1.65,4,1650,"$72,368",22.3,$0.98,thanh pho ho chi minh,vietnam
"CĂN HỘ SỔ HỒNG CONIC ĐÌNH KHIÊM 2PN 1,65 TỶ",Binh Chanh,74 m² - 2 PN,74 m²,2 PN,74,"1,65 tỷ",1.65,4,1650,"$72,368",22.3,$0.98,thanh pho ho chi minh,vietnam
Căn hộ 76m2 2pn giá tốt  tại cc Happy CIty,Binh Chanh,76 m² - 2 PN,76 m²,2 PN,76,"1,9 tỷ",1.9,3,1900,"$83,333",25,$1.10,thanh pho ho chi minh,vietnam
"NGỘP LÃI THANH LÝ MIZUKI 78m²2PN,ban công cực mát",Binh Chanh,78 m² - 2 PN,78 m²,2 PN,78,"2,65 tỷ",2.65,4,2650,"$116,228",33.97,$1.49,thanh pho ho chi minh,vietnam
"Giỏ hàng MP6-7-8 chênh thấp nhất, TT 50% 2 năm",Binh Chanh,78 m² - 2 PN,78 m²,2 PN,78,"2,9 tỷ",2.9,3,2900,"$127,193",37.18,$1.63,thanh pho ho chi minh,vietnam
"MIZUKI PARK GIỎ HÀNG ONLINE 3 BLOCK MỚI MP6,7,8",Binh Chanh,78 m² - 2 PN,78 m²,2 PN,78,"2,9 tỷ",2.9,3,2900,"$127,193",37.18,$1.63,thanh pho ho chi minh,vietnam
"Bán căn hộ Mizuki mp6.7.8, 0% Ls, chỉ cần 340tr",Binh Chanh,78 m² - 2 PN,78 m²,2 PN,78,"3,3 tỷ",3.3,3,3300,"$144,737",42.31,$1.86,thanh pho ho chi minh,vietnam
chính chủ sang nhượng căn Mizuki Park 79.36m² 2PN,Binh Chanh,79.36 m² - 2 PN,79.36 m²,2 PN,79,"3,65 tỷ",3.65,4,3650,"$160,088",45.99,$2.02,thanh pho ho chi minh,vietnam
Chung cư Terra Rosa 79m² 2 PN 2WC,Binh Chanh,79.5 m² - 2 PN,79.5 m²,2 PN,80,2 tỷ,2,2,2000,"$87,719",25.16,$1.10,thanh pho ho chi minh,vietnam
Chung cư Conic Skyway 80m² 2 PN,Binh Chanh,80 m² - 2 PN,80 m²,2 PN,80,"2,1 tỷ",2.1,3,2100,"$92,105",26.25,$1.15,thanh pho ho chi minh,vietnam
"Giá bán Full 44,6 triệu/m2, căn 80m2, 3 view kênh",Binh Chanh,80 m² - 2 PN,80 m²,2 PN,80,"3,562 tỷ",3.562,5,3562,"$156,228",44.53,$1.95,thanh pho ho chi minh,vietnam
Chung cư The Mansion 83m² 2PN 2WC- Có SHR,Binh Chanh,83 m² - 2 PN,83 m²,2 PN,83,"1,9 tỷ",1.9,3,1900,"$83,333",22.89,$1.00,thanh pho ho chi minh,vietnam
Bán căn hộ cao cấp 2PN tại chung cư Citizen - BC,Binh Chanh,83 m² - 2 PN,83 m²,2 PN,83,"2,75 tỷ",2.75,4,2750,"$120,614",33.13,$1.45,thanh pho ho chi minh,vietnam
"Thanh lý gấp căn nhà mặt tiền gần chợ, khu vực HCM",Binh Chanh,125 m² - 2 PN,125 m²,2 PN,125,"1,75 tỷ",1.75,4,1750,"$76,754",14,$0.61,thanh pho ho chi minh,vietnam
"Bán nhà Bình Chánh, SHR, 790tr, xem Video rõ hơn !",Binh Chanh,40 m² - 3 PN,40 m²,3 PN,40,790 triệu,790,4,790,"$34,649",19.75,$0.87,thanh pho ho chi minh,vietnam
"Nhà kế Bình Chánh 790tr, chi tết trong Video, SHR",Binh Chanh,45 m² - 3 PN,45 m²,3 PN,45,790 triệu,790,4,790,"$34,649",17.56,$0.77,thanh pho ho chi minh,vietnam
Bán nhà giá rẻ - Sổ hồng Riêng - Bình Chánh,Binh Chanh,64 m² - 3 PN,64 m²,3 PN,64,750 triệu,750,4,750,"$32,895",11.72,$0.51,thanh pho ho chi minh,vietnam
CHÍNH CHỦ BÁN NHÀ,Binh Chanh,67.2 m² - 3 PN,67.2 m²,3 PN,67,"1,2 tỷ",1.2,3,1200,"$52,632",17.86,$0.78,thanh pho ho chi minh,vietnam
